"ROI_ID","CHAPTER_PRIMARY_CODE","ACCOUNT_CLASS_NAME"
4256632,"NRRO","Individual"
4199469,"NRRO","Individual"
4397873,"NRRO","Individual"
4221701,"NRRO","Individual"
4197679,"NRRO","Individual"
4199154,"NRRO","Individual"
4203063,"NRRO","Individual"
4203105,"NRRO","Individual"
4199675,"NRRO","Individual"
4203915,"NRRO","Individual"
4197810,"NRRO","Individual"
4201687,"NRRO","Individual"
4203360,"NRRO","Individual"
4207569,"NRRO","Individual"
4292983,"NRRO","Individual"
4222212,"NRRO","Individual"
4222220,"NRRO","Individual"
100314640,"NRRO","Individual"
4201877,"NRRO","Individual"
4201992,"NRRO","Individual"
4202032,"NRRO","Individual"
4195673,"NRRO","Individual"
4195772,"NRRO","Individual"
4193744,"NRRO","Individual"
4296034,"NRRO","Individual"
4250825,"NRRO","Individual"
4203543,"NRRO","Individual"
4204020,"NRRO","Individual"
4254777,"NRRO","Individual"
4398426,"NRRO","Individual"
4274064,"NRRO","Individual"
4354163,"NRRO","Individual"
4280913,"NRRO","Individual"
4267126,"NRRO","Individual"
4267217,"NRRO","Individual"
4267332,"NRRO","Individual"
4346862,"NRRO","Individual"
4285557,"NRRO","Individual"
4285664,"NRRO","Individual"
4324448,"NRRO","Individual"
4391975,"NRRO","Individual"
4346888,"NRRO","Individual"
4327755,"NRRO","Individual"
4223566,"NRRO","Individual"
4220596,"NRRO","Individual"
4328589,"NRRO","Individual"
4308060,"NRRO","Individual"
4364048,"NRRO","Individual"
4400636,"NRRO","Individual"
4354221,"NRRO","Individual"
4222915,"NRRO","Individual"
4314696,"NRRO","Individual"
4402731,"NRRO","Individual"
4402848,"NRRO","Individual"
4266748,"NRRO","Individual"
4297834,"NRRO","Individual"
4252722,"NRRO","Individual"
4201505,"NRRO","Individual"
4394052,"NRRO","Individual"
4211884,"NRRO","Individual"
4211892,"NRRO","Individual"
4276978,"NRRO","Individual"
4276986,"NRRO","Individual"
4277844,"NRRO","Individual"
4265963,"NRRO","Individual"
4227971,"NRRO","Individual"
4268470,"NRRO","Individual"
4348017,"NRRO","Individual"
4393682,"NRRO","Individual"
4407011,"NRRO","Individual"
4407086,"NRRO","Individual"
4285219,"NRRO","Individual"
4277604,"NRRO","Individual"
4212296,"NRRO","Individual"
4285334,"NRRO","Individual"
4225843,"NRRO","Individual"
4309837,"NRRO","Individual"
4212932,"NRRO","Individual"
4407342,"NRRO","Individual"
4362430,"NRRO","Individual"
4356895,"NRRO","Individual"
4403325,"NRRO","Individual"
5560800,"NRRO","Individual"
5604921,"NRRO","Individual"
5604939,"NRRO","Individual"
5554340,"NRRO","Individual"
5556956,"NRRO","Individual"
5607460,"NRRO","Individual"
5607494,"NRRO","Individual"
5470240,"NRRO","Individual"
5528427,"NRRO","Individual"
5488804,"NRRO","Individual"
5482393,"NRRO","Individual"
5525720,"NRRO","Individual"
5476197,"NRRO","Individual"
